Player,Year,Age,Pos,Tm,G,MP,perf,PTS
DeMarre Carroll,2010,23,SG-SF,MEM,71,795,0,209
Derek Fisher,2010,35,PG,LAL,82,2227,0,615
Deron Williams,2010,25,PG,UTA,76,2802,1,1419
Derrick Brown,2010,22,SG-SF,CHA,57,535,0,186
Derrick Rose,2010,21,PG,CHI,78,2871,1,1619
DeShawn Stevenson,2010,28,SG-SF,TOT,64,883,0,136
Devean George,2010,32,SG-SF,GSW,45,761,0,242
Devin Brown,2010,31,SG-SF,TOT,50,1060,0,399
Devin Harris,2010,26,PG,NJN,64,2221,1,1080
Didier Ilunga-Mbenga,2010,29,PF-C,LAL,49,355,0,105
Dirk Nowitzki,2010,31,PF-C,DAL,81,3039,1,2027
Donte Greene,2010,21,SG-SF,SAC,76,1630,0,647
Dorell Wright,2010,24,SG-SF,MIA,72,1496,0,510
Drew Gooden,2010,28,PF-C,TOT,70,1755,1,763
Dwight Howard,2010,24,PF-C,ORL,82,2843,1,1503
Dwyane Wade,2010,28,SG-SF,MIA,77,2792,1,2045
Earl Barron,2010,28,PF-C,NYK,7,232,0,82
Earl Boykins,2010,33,PG,WAS,67,1117,0,440
Earl Clark,2010,22,PF-C,PHO,51,383,0,140
Earl Watson,2010,30,PG,IND,79,2322,0,619
Eddie House,2010,31,SG-SF,TOT,68,1217,0,473
Eduardo Najera,2010,33,PF-C,TOT,46,685,0,157
Elton Brand,2010,30,PF-C,PHI,76,2297,1,996
Emeka Okafor,2010,27,PF-C,NOH,82,2370,1,850
Eric Gordon,2010,21,SG-SF,LAC,62,2229,0,1045
Eric Maynor,2010,22,PG,TOT,81,1269,0,382
Erick Dampier,2010,34,PF-C,DAL,55,1280,0,328
Ersan Ilyasova,2010,22,PF-C,MIL,81,1898,1,840
Etan Thomas,2010,31,PF-C,OKC,23,321,0,75
Fabricio Oberto,2010,34,PF-C,WAS,57,650,0,83
Francisco Garcia,2010,28,SG-SF,SAC,25,575,0,202
Garrett Temple,2010,23,SG-SF,TOT,27,334,0,136
George Hill,2010,23,PG,SAS,78,2276,0,964
Gerald Henderson,2010,22,SG-SF,CHA,43,355,0,113
Gerald Wallace,2010,27,SG-SF,CHA,76,3119,1,1386
Gilbert Arenas,2010,28,PG,WAS,32,1169,1,722
Glen Davis,2010,24,PF-C,BOS,54,933,0,340
Goran Dragic,2010,23,PG,PHO,80,1442,0,635
Grant Hill,2010,37,SG-SF,PHO,81,2430,0,912
Greg Oden,2010,22,PF-C,POR,21,502,1,233
Hakim Warrick,2010,27,PF-C,TOT,76,1557,1,733
Hamed Haddadi,2010,24,PF-C,MEM,36,240,0,62
Hasheem Thabeet,2010,22,PF-C,MEM,68,883,0,208
Hedo Turkoglu,2010,30,SG-SF,TOR,74,2272,0,835
Henry Walker,2010,22,SG-SF,TOT,35,768,0,329
Hilton Armstrong,2010,25,PF-C,TOT,33,335,0,71
